ID-Number,Group,Gender,Age,Nationality,Highest degree of education,Been Berlin,Been Hamburg,Been Jerusalem,Been TelAviv,been Israel,Date,1-1-Sel,1-1-Conf,1-2-Trust,1-2-Dec-R,1-2-Sel,1-2-Conf,2-1-Sel,2-1-Conf,2-2-Trust,2-2-Dec-R,2-2-Sel,2-2-Conf,3-1-Sel,3-1-Conf,3-2-Trust,3-2-Dec-R,3-2-Sel,3-2-Conf,4-1-Sel,4-1-Conf,4-2-Trust,4-2-Dec-R,4-2-Sel,4-2-Conf,5-1-Sel,5-1-Conf,5-2-Trust,5-2-Dec-R,5-2-Sel,5-2-Conf,6-1-Sel,6-1-Conf,6-2-Trust,6-2-Dec-R,6-2-Sel,6-2-Conf,7-1-Sel,7-1-Conf,7-2-Trust,7-2-Dec-R,7-2-Sel,7-2-Conf,8-1-Sel,8-1-Conf,8-2-Trust,8-2-Dec-R,8-2-Sel,8-2-Conf,9-1-Sel,9-1-Conf,9-2-Trust,9-2-Dec-R,9-2-Sel,9-2-Conf,10-1-Sel,10-1-Conf,10-2-Trust,10-2-Dec-R,10-2-Sel,10-2-Conf,11-1-Sel,11-1-Conf,11-2-Trust,11-2-Dec-R,11-2-Sel,11-2-Conf,12-1-Sel,12-1-Conf,12-2-Trust,12-2-Dec-R,12-2-Sel,12-2-Conf,13-1-Sel,Time
21,AI,Female,23,German,Undergraduate Studies,Yes,No,No,No,No,2023-03-17,Tel Aviv,3,2,,Tel Aviv,3,Hamburg,4,2,,Hamburg,4,Jerusalem,4,3,,Jerusalem,2,Berlin,3,2,,Berlin,2,Hamburg,3,4,,Hamburg,4,Tel Aviv,3,3,,Tel Aviv,3,Jerusalem,3,3,,Jerusalem,3,Berlin,4,4,,Berlin,4,Tel Aviv,2,2,,Tel Aviv,2,Hamburg,4,4,,Hamburg,4,Berlin,2,3,,Berlin,3,Jerusalem,3,3,,Jerusalem,3,Hamburg,13
22,XAI,Female,28,German,Graduate Studies,Yes,Yes,No,No,No,2023-03-17,Tel Aviv,1,4,No,Jerusalem,4,Hamburg,2,3,Yes,Berlin,3,Tel Aviv,1,4,No,Tel Aviv,4,Berlin,1,5,No,Hamburg,3,Berlin,1,5,Yes,Hamburg,5,Jerusalem,2,4,No,Tel Aviv,1,Jerusalem,1,3,No,Jerusalem,1,Berlin,2,5,Yes,Berlin,5,Jerusalem,1,4,No,Jerusalem,5,Hamburg,3,5,Yes,Hamburg,5,Tel Aviv,2,4,No,Berlin,3,Jerusalem,1,3,Yes,Jerusalem,4,Hamburg,16
23,AI,Female,25,German,Undergraduate Studies,Yes,Yes,No,No,No,2023-03-18,Tel Aviv,3,4,,Jerusalem,4,Hamburg,4,3,,Hamburg,3,Tel Aviv,3,4,,Tel Aviv,4,Berlin,3,4,,Hamburg,4,Berlin,4,4,,Berlin,3,Tel Aviv,3,4,,Tel Aviv,4,Tel Aviv,4,4,,Tel Aviv,4,Hamburg,4,3,,Hamburg,3,Jerusalem,4,4,,Jerusalem,4,Berlin,4,3,,Berlin,3,Hamburg,2,3,,Hamburg,2,Tel Aviv,3,4,,Jerusalem,4,Hamburg,8
24,AI,Male,24,German,Undergraduate Studies,Yes,Yes,No,No,No,2023-03-18,Tel Aviv,1,5,,Jerusalem,5,Berlin,1,5,,Berlin,5,Tel Aviv,1,5,,Tel Aviv,5,Hamburg,1,5,,Hamburg,5,Berlin,3,1,,Berlin,3,Tel Aviv,2,5,,Tel Aviv,5,Jerusalem,1,3,,Jerusalem,1,Berlin,3,3,,Berlin,3,Tel Aviv,3,3,,Tel Aviv,3,Berlin,3,2,,Berlin,2,Berlin,2,5,,Berlin,5,Tel Aviv,2,5,,Jerusalem,5,Hamburg,11
25,XAI,Female,33,German,Graduate Studies,No,Yes,No,No,No,2023-03-19,Tel Aviv,4,4,Yes,Tel Aviv,4,Hamburg,5,5,Yes,Berlin,5,Tel Aviv,5,5,No,Tel Aviv,5,Hamburg,5,5,Yes,Hamburg,5,Hamburg,3,4,Yes,Hamburg,4,Tel Aviv,4,4,No,Tel Aviv,4,Jerusalem,4,3,Yes,Jerusalem,4,Berlin,5,5,Yes,Berlin,5,Jerusalem,4,5,Yes,Jerusalem,5,Hamburg,5,5,Yes,Hamburg,5,Berlin,3,5,Yes,Berlin,4,Tel Aviv,4,3,Yes,Tel Aviv,4,Hamburg,17
26,AI,Male,17,German,Middle School,Yes,No,No,No,No,2023-03-19,Tel Aviv,1,4,,Tel Aviv,2,Hamburg,3,2,,Hamburg,4,Tel Aviv,1,5,,Tel Aviv,5,Berlin,2,3,,Berlin,3,Berlin,5,2,,Berlin,3,Tel Aviv,1,5,,Tel Aviv,5,Jerusalem,3,2,,Jerusalem,3,Hamburg,3,3,,Hamburg,3,Jerusalem,3,5,,Jerusalem,5,Hamburg,3,5,,Hamburg,5,Berlin,4,5,,Berlin,5,Jerusalem,2,4,,Jerusalem,4,Hamburg,12
27,AI,Male,33,German,Undergraduate Studies,Yes,No,No,No,No,2023-03-20,Tel Aviv,3,5,,Jerusalem,5,Berlin,3,5,,Berlin,5,Tel Aviv,3,5,,Tel Aviv,5,Berlin,2,4,,Hamburg,4,Berlin,2,5,,Hamburg,5,Tel Aviv,3,5,,Tel Aviv,5,Jerusalem,3,5,,Tel Aviv,5,Berlin,4,5,,Berlin,5,Jerusalem,4,5,,Jerusalem,5,Hamburg,3,5,,Hamburg,5,Tel Aviv,1,4,,Berlin,4,Jerusalem,4,5,,Jerusalem,5,Hamburg,9
28,XAI,Female,28,German,Undergraduate Studies,Yes,No,No,No,No,2023-03-21,Tel Aviv,3,3,No,Tel Aviv,3,Hamburg,3,3,No,Hamburg,3,Jerusalem,3,3,No,Jerusalem,3,Hamburg,3,4,Yes,Hamburg,4,Berlin,4,3,Yes,Berlin,3,Tel Aviv,4,4,No,Tel Aviv,4,Jerusalem,3,3,No,Jerusalem,3,Berlin,3,4,Yes,Berlin,3,Jerusalem,4,4,No,Jerusalem,4,Hamburg,4,4,Yes,Hamburg,4,Berlin,4,4,Yes,Berlin,4,Tel Aviv,4,3,Yes,Tel Aviv,3,Hamburg,10
29,AI,Female,25,German,High School,Yes,Yes,No,No,No,2023-03-22,Tel Aviv,1,5,,Jerusalem,3,Hamburg,4,2,,Hamburg,4,Jerusalem,1,3,,Jerusalem,1,Berlin,3,3,,Berlin,3,Berlin,3,3,,Hamburg,3,Tel Aviv,1,3,,Tel Aviv,3,Tel Aviv,1,3,,Tel Aviv,3,Berlin,2,3,,Berlin,3,Jerusalem,2,3,,Jerusalem,3,Hamburg,3,4,,Hamburg,4,Berlin,2,3,,Berlin,2,Tel Aviv,2,3,,Tel Aviv,2,Hamburg,15
30,AI,Male,35,German,High School,Yes,No,Yes,Yes,Yes,2023-03-22,Jerusalem,4,4,,Jerusalem,4,Hamburg,3,3,,Berlin,3,Jerusalem,3,2,,Jerusalem,3,Hamburg,3,4,,Hamburg,3,Hamburg,2,4,,Hamburg,3,Tel Aviv,4,5,,Tel Aviv,4,Tel Aviv,3,3,,Tel Aviv,3,Berlin,4,5,,Berlin,4,Jerusalem,4,5,,Jerusalem,5,Hamburg,3,4,,Hamburg,3,Berlin,2,4,,Berlin,3,Jerusalem,2,4,,Jerusalem,3,Hamburg,12
